project,path,type,provenance,publication_status,role,alt_pt,alt_en,figma_node,notes,bytes
HORIZON HIS,public/assets/projects/horizon-his/cover/cover-640.webp,cover,derived from existing case visual containing real prototype UI,publish,project cover,Composição editorial com interface do protótipo HORIZON HIS em uma jornada clínica.,Editorial composition featuring the HORIZON HIS prototype interface in a clinical journey.,YAmY8dnWJC7v572Tt3OdfQ / 23007:56408; 19266:177837,Cover excludes unrelated generated logo/copy; HTML must carry project title.,11406
HORIZON HIS,public/assets/projects/horizon-his/cover/cover-1024.webp,cover,derived from existing case visual containing real prototype UI,publish,project cover,Composição editorial com interface do protótipo HORIZON HIS em uma jornada clínica.,Editorial composition featuring the HORIZON HIS prototype interface in a clinical journey.,YAmY8dnWJC7v572Tt3OdfQ / 23007:56408; 19266:177837,Cover excludes unrelated generated logo/copy; HTML must carry project title.,23846
HORIZON HIS,public/assets/projects/horizon-his/cover/cover-1440.webp,cover,derived from existing case visual containing real prototype UI,publish,project cover,Composição editorial com interface do protótipo HORIZON HIS em uma jornada clínica.,Editorial composition featuring the HORIZON HIS prototype interface in a clinical journey.,YAmY8dnWJC7v572Tt3OdfQ / 23007:56408; 19266:177837,Cover excludes unrelated generated logo/copy; HTML must carry project title.,40214
HORIZON HIS,public/assets/projects/horizon-his/cover/cover-1920.webp,cover,derived from existing case visual containing real prototype UI,publish,project cover,Composição editorial com interface do protótipo HORIZON HIS em uma jornada clínica.,Editorial composition featuring the HORIZON HIS prototype interface in a clinical journey.,YAmY8dnWJC7v572Tt3OdfQ / 23007:56408; 19266:177837,Cover excludes unrelated generated logo/copy; HTML must carry project title.,61274
HORIZON HIS,public/assets/projects/horizon-his/evidence/triage-prototype-1600.webp,evidence,crop of existing portfolio case visual,publish,prototype evidence,"Tela de triagem do protótipo HORIZON HIS com acolhimento, sinais vitais e dados gerados.","HORIZON HIS triage prototype screen with intake, vital signs, and generated data.",19266:177837,Validated prototype evidence; do not claim production implementation.,86862
HORIZON HIS,public/assets/projects/horizon-his/evidence/prototype-and-interaction-map-1600.webp,evidence,existing case-study slide crop,publish,interaction evidence,Protótipo de alta fidelidade e mapa de interações usados para validar a visão do HORIZON HIS.,High-fidelity prototype and interaction map used to validate the HORIZON HIS vision.,19266:177837,,53180
HORIZON HIS,public/assets/projects/horizon-his/evidence/hospitalar-2025-evidence-960.webp,photo evidence,crop of existing case-study slide,review_privacy,event evidence,"Registro fotográfico da apresentação do protótipo na Hospitalar 2025, com o totem ao fundo.",Photographic record of the prototype presentation at Hospitalar 2025 with the kiosk in the background.,,Contains a person; review publication/privacy before going live.,111364
SUBITER,public/assets/projects/subiter/cover/cover-640.webp,cover,editorial representation based on inspected Figma nodes,review,legacy cover (not active),"Representação editorial de uma operação digital de inspeção com mapa, ativos, ocorrências e análise assistida por IA.","Editorial representation of a digital inspection operation with map, assets, issues, and AI-assisted analysis.",eh5Xgi0oTZXHspVGaIF9EX / 40001865:25556; 40001865:25557,Legacy unthemed editorial cover; not used by the current application and not approved as active publication evidence. Not a product screenshot.,6828
SUBITER,public/assets/projects/subiter/cover/cover-1024.webp,cover,editorial representation based on inspected Figma nodes,review,legacy cover (not active),"Representação editorial de uma operação digital de inspeção com mapa, ativos, ocorrências e análise assistida por IA.","Editorial representation of a digital inspection operation with map, assets, issues, and AI-assisted analysis.",eh5Xgi0oTZXHspVGaIF9EX / 40001865:25556; 40001865:25557,Legacy unthemed editorial cover; not used by the current application and not approved as active publication evidence. Not a product screenshot.,14592
SUBITER,public/assets/projects/subiter/cover/cover-1440.webp,cover,editorial representation based on inspected Figma nodes,review,legacy cover (not active),"Representação editorial de uma operação digital de inspeção com mapa, ativos, ocorrências e análise assistida por IA.","Editorial representation of a digital inspection operation with map, assets, issues, and AI-assisted analysis.",eh5Xgi0oTZXHspVGaIF9EX / 40001865:25556; 40001865:25557,Legacy unthemed editorial cover; not used by the current application and not approved as active publication evidence. Not a product screenshot.,24372
